date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:18:48	78584/78584	---M--	200	added ('OK')	application/x-font-ttf	etag:%22594597ae-132f8%22	https://html.dynamiclayers.net/at/apptex/fonts/themify.ttf?-fvbane	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/fonts/themify9f24.ttf	(from https://html.dynamiclayers.net/at/apptex/css/themify-icons.css)
12:18:48	234269/234269	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22594597ae-3931d%22	https://html.dynamiclayers.net/at/apptex/fonts/themify.svg?-fvbane	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/fonts/themify9f24.svg	(from https://html.dynamiclayers.net/at/apptex/css/themify-icons.css)
12:18:49	59572/59572	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258bfd298-e8b4%22	https://html.dynamiclayers.net/at/apptex/fonts/ElegantIcons.eot	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/fonts/ElegantIcons.eot	(from https://html.dynamiclayers.net/at/apptex/css/elegant-font-icons.css)
12:18:49	59572/59572	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258bfd298-e8b4%22	https://html.dynamiclayers.net/at/apptex/fonts/ElegantIcons.eot?	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/fonts/ElegantIconsd41d.eot	(from https://html.dynamiclayers.net/at/apptex/css/elegant-font-icons.css)
12:18:49	63664/63664	---M--	200	added ('OK')	application/x-font-woff	etag:%2258bfd298-f8b0%22	https://html.dynamiclayers.net/at/apptex/fonts/ElegantIcons.woff	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/fonts/ElegantIcons.woff	(from https://html.dynamiclayers.net/at/apptex/css/elegant-font-icons.css)
12:18:50	59388/59388	---M--	200	added ('OK')	application/x-font-ttf	etag:%2258bfd298-e7fc%22	https://html.dynamiclayers.net/at/apptex/fonts/ElegantIcons.ttf	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/fonts/ElegantIcons.ttf	(from https://html.dynamiclayers.net/at/apptex/css/elegant-font-icons.css)
12:18:51	277297/277297	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2258bfd298-43b31%22	https://html.dynamiclayers.net/at/apptex/fonts/ElegantIcons.svg	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/fonts/ElegantIcons.svg	(from https://html.dynamiclayers.net/at/apptex/css/elegant-font-icons.css)
12:18:51	32694/32694	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258bfd298-7fb6%22	https://html.dynamiclayers.net/at/apptex/fonts/et-line.eot	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/fonts/et-line.eot	(from https://html.dynamiclayers.net/at/apptex/css/elegant-line-icons.css)
12:18:51	32694/32694	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258bfd298-7fb6%22	https://html.dynamiclayers.net/at/apptex/fonts/et-line.eot?	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/fonts/et-lined41d.eot	(from https://html.dynamiclayers.net/at/apptex/css/elegant-line-icons.css)
12:18:52	55220/55220	---M--	200	added ('OK')	application/x-font-woff	etag:%2258bfd298-d7b4%22	https://html.dynamiclayers.net/at/apptex/fonts/et-line.woff	C:/Users/92301/Desktop/theme_booking/apptex/html.dynamiclayers.net/at/apptex/fonts/et-line.woff	(from https://html.dynamiclayers.net/at/apptex/css/elegant-line-icons.css)
